file,size,vegetation
G0030262.JPG,1024,0
G0030086.JPG,1024,0
G0030559.JPG,1024,0
another_G0061013.JPG,1024,0
G0071372.JPG,1024,0
G0051423.JPG,1024,0
G0020300.JPG,1024,0
G0040577.JPG,1024,0
another_G0050666.JPG,1024,0
G0040262.JPG,1024,0
G0040569.JPG,1024,0
G0050738.JPG,1024,0
G0030457.JPG,1024,0
G0040910.JPG,1024,0
another_G0050723.JPG,1024,0
G0040971.JPG,1024,0
G0050732.JPG,1024,0
G0090959.JPG,1024,0
G0040037.JPG,1024,0
G0040499.JPG,1024,0
another_G0060895.JPG,1024,0
G0041114.JPG,1024,0
G0010078.JPG,1024,0
G0051424.JPG,1024,0
G0030201.JPG,1024,0
G0040554.JPG,1024,0
G0050387.JPG,1024,0
G0090985.JPG,1024,0
G0040227.JPG,1024,0
G0010153.JPG,1024,0
G0030815.JPG,1024,0
G0030066.JPG,1024,0
G0020126.JPG,1024,0
G0010133.JPG,1024,0
another_G0060831.JPG,1024,0
another_G0040361.JPG,1024,0
another_G0060827.JPG,1024,0
G0060879.JPG,1024,0
G0040254.JPG,1024,0
G0060740.JPG,1024,0
G0040258.JPG,1024,0
G0030069.JPG,1024,0
G0050548.JPG,1024,0
G0060741.JPG,1024,0
G0030634.JPG,1024,0
another_G0050634.JPG,1024,0
G0020264.JPG,1024,0
G0030721.JPG,1024,0
G0040933.JPG,1024,0
G0051364.JPG,1024,0
G0041055.JPG,1024,0
G0030761.JPG,1024,0
G0020370.JPG,1024,0
G0020164.JPG,1024,0
G0051405.JPG,1024,0
G0090819.JPG,1024,0
G0040837.JPG,1024,0
G0040394.JPG,1024,0
G0040700.JPG,1024,0
G0090792.JPG,1024,0
G0040321.JPG,1024,0
G0041028.JPG,1024,0
G0040217.JPG,1024,0
G0040587.JPG,1024,0
another_G0050377.JPG,1024,0
G0090882.JPG,1024,0
G0030242.JPG,1024,0
G0020087.JPG,1024,0
G0040218.JPG,1024,0
G0071343.JPG,1024,0
another_G0050545.JPG,1024,0
G0061066.JPG,1024,0
G0010176.JPG,1024,0
G0040648.JPG,1024,0
G0030204.JPG,1024,0
G0051322.JPG,1024,0
G0060737.JPG,1024,0
G0010146.JPG,1024,0
G0040861.JPG,1024,0
G0071455.JPG,1024,0
G0010108.JPG,1024,0
G0050606.JPG,1024,0
G0040653.JPG,1024,0
G0010079.JPG,1024,0
